human_symbol	yeast_sgd
AKR1E2	YHR104W
AKR1E2	YJR096W
AKR1E2	YOR120W
AKR7A2	YCR107W
AKR7A2	YDL243C
AKR7A2	YJR155W
AKR7A2	YNL331C
AKR7A3	YCR107W
AKR7A3	YDL243C
AKR7A3	YJR155W
AKR7A3	YNL331C
AKR7L	YCR107W
AKR7L	YDL243C
AKR7L	YJR155W
AKR7L	YNL331C
ALAD	YGL040C
ALAS1	YDR232W
ALAS2	YDR232W
ALDH18A1	YOR323C
ALDH1A1	YER073W
ALDH1A1	YMR169C
ALDH1A1	YMR170C
ALDH1A1	YOR374W
ALDH1A1	YPL061W
ALDH1A2	YER073W
ALDH1A2	YMR169C
ALDH1A2	YMR170C
ALDH1A2	YOR374W
ALDH1A2	YPL061W
ALDH1A3	YER073W
ALDH1A3	YMR169C
ALDH1A3	YMR170C
ALDH1A3	YOR374W
ALDH1A3	YPL061W
ALDH1B1	YER073W
ALDH1B1	YMR169C
ALDH1B1	YMR170C
ALDH1B1	YOR374W
ALDH1B1	YPL061W
ALDH2	YER073W
ALDH2	YMR169C
ALDH2	YMR170C
ALDH2	YOR374W
ALDH2	YPL061W
ALDH3A1	YMR110C
ALDH3A2	YMR110C
ALDH3B1	YMR110C
ALDH3B2	YMR110C
ALDH4A1	YHR037W
ALDH5A1	YBR006W
ALDH5A1	YER073W
ALDH5A1	YMR169C
ALDH5A1	YMR170C
ALDH8A1	YER073W
ALDH8A1	YMR169C
ALDH8A1	YMR170C
ALDP	YKL188C
ALDP	YPL147W
ALG1	YBR110W
ALG10	YGR227W
ALG10B	YGR227W
ALG11	YNL048W
ALG12	YNR030W
ALG14	YBR070C
ALG2	YGL065C
ALG3	YBL082C
ALG5	YPL227C
ALG6	YOR002W
ALG8	YOR067C
ALG9	YNL219C
ALLC	YIR029W
ALPG	YDR481C
ALPHA4S	YGR135W
ALPHA4S	YGR253C
ALPHA4S	YML092C
ALPHA4S	YMR314W
ALPHA4S	YOL038W
ALPI	YDR481C
ALPL	YDR481C
ALPP	YDR481C
ALX1	YDR451C
ALX1	YML027W
ALX3	YDR451C
ALX3	YML027W
ALYREF	YDR381W
AMD1	YOL052C
AMMECR1	YOR289W
AMMECR1L	YOR289W
AMPD1	YML035C
AMPD2	YBR284W
AMPD2	YML035C
AMPD3	YML035C
AMT	YDR019C
ANAPC10	YGL240W
ANAPC11	YDL008W
ANAPC2	YLR127C
ANKRD46	YCR051W
ANKRD61	YGR232W
ANKZF1	YDR049W
AP1B1	YKL135C
AP1G1	YPR029C
AP1G2	YPR029C
AP1M1	YHL019C
AP1M1	YOL062C
AP1M1	YPL259C
AP1M2	YHL019C
AP1M2	YOL062C
AP1M2	YPL259C
AP1S1	YJR058C
AP1S1	YLR170C
AP1S2	YJR058C
AP1S2	YLR170C
AP1S3	YJR058C
AP1S3	YLR170C
AP2A1	YBL037W
AP2A2	YBL037W
AP2B1	YKL135C
AP2M1	YHL019C
AP2M1	YOL062C
AP2M1	YPL259C
AP2S1	YJR058C
AP2S1	YLR170C
AP3B1	YGR261C
AP3B2	YGR261C
AP3D1	YPL195W
AP3S1	YJL024C
AP3S2	YJL024C
APEX2	YBL019W
APIP	YJR024C
