target_id	target_family	model_direction_score
OR51A2	gpcr	0.3587
OR51S1	gpcr	0.3543
OR51T1	gpcr	0.3874
OR51G2	gpcr	0.4201
OR51G1	gpcr	0.3828
OR52K2	gpcr	0.3683
OR52K1	gpcr	0.3963
OR52M1	gpcr	0.3313
OR52I1	gpcr	0.3422
OR5D16	gpcr	0.408
OR5L2	gpcr	0.3992
OR5D18	gpcr	0.3558
OR5L1	gpcr	0.3853
OR5D14	gpcr	0.3771
OR5D13	gpcr	0.3705
OR4A15	gpcr	0.3784
OR4P4	gpcr	0.3873
OR4C16	gpcr	0.4226
OR4C15	gpcr	0.362
OR6M1	gpcr	0.3994
OR4D5	gpcr	0.4273
OR6T1	gpcr	0.3801
OR10S1	gpcr	0.361
OR10G9	gpcr	0.357
OR10G8	gpcr	0.4016
OR10G7	gpcr	0.3624
OR10D4P	gpcr	
OR4A4P	gpcr	
OR4C13	gpcr	0.3768
OR8J1	gpcr	0.3699
OR5M9	gpcr	0.3834
OR5M3	gpcr	0.4062
OR5M8	gpcr	0.3905
OR5M1	gpcr	0.3788
OR5AR1	gpcr	0.3713
OR6Q1	gpcr	0.403
OR1S2	gpcr	0.3777
OR10Q1	gpcr	0.3832
OR9Q1	gpcr	0.3971
OR9I1	gpcr	0.3647
OR13A1	gpcr	0.3827
OR1K1	gpcr	0.3742
OR5C1	gpcr	0.3928
OR1L4	gpcr	0.4278
OR1L8	gpcr	0.373
OR1N2	gpcr	0.3778
OR1N1	gpcr	0.3968
OR1J4	gpcr	0.3909
OR1J1	gpcr	0.3783
OR13F1	gpcr	0.3162
OR13C4	gpcr	0.3716
OR13C3	gpcr	0.3865
OR13C8	gpcr	0.3904
OR13C2	gpcr	0.3812
OR13C9	gpcr	0.4099
OR2K2	gpcr	0.3737
OR13J1	gpcr	0.3915
OR9A2	gpcr	0.3643
OR2A12	gpcr	0.3479
OR2A1	gpcr	
OR9A1P	gpcr	
OR9A4	gpcr	0.4173
OR2I1	gpcr	
GPR150	gpcr	0.3971
OR2Y1	gpcr	0.3832
OR13D1	gpcr	0.378
OR5H2	gpcr	0.3929
OR6B3	gpcr	0.3962
OR11L1	gpcr	0.3636
OR2T34	gpcr	0.3694
OR2T35	gpcr	0.3748
OR10K1	gpcr	0.4007
OR10R2	gpcr	0.3752
OR6Y1	gpcr	0.3786
OR6P1	gpcr	0.3776
OR10Z1	gpcr	0.376
OR6K2	gpcr	0.383
OR6N1	gpcr	0.3606
OR6N2	gpcr	0.3575
OR10J6P	gpcr	
OR2L8	gpcr	0.4461
OR2AJ1	gpcr	0.4075
OR14K1	gpcr	0.3883
OR13G1	gpcr	0.4493
OR2G3	gpcr	0.4194
OR2G2	gpcr	0.3566
OR6F1	gpcr	0.3894
OR2T10	gpcr	0.3809
OR2T4	gpcr	0.4352
OR2T11	gpcr	0.3791
OR2T29	gpcr	0.3682
OR2T3	gpcr	0.4121
OR2T27	gpcr	0.3402
OR4Q3	gpcr	0.403
OR1P1	gpcr	0.3851
OR11H2	gpcr	0.4062
OR10AC1	gpcr	0.3744
OR8S1	gpcr	0.3875
OR8U1	gpcr	0.3672
OR2L2	gpcr	0.3718
OR5J2	gpcr	0.3676
OR4C3	gpcr	0.3853
OR6S1	gpcr	0.4095
OR4K15	gpcr	0.3861
OR4K13	gpcr	0.3491
OR4X1	gpcr	0.3911
OR8K5	gpcr	0.3623
OR8K3	gpcr	0.3186
OR52N1	gpcr	0.3881
OR56A3	gpcr	0.3694
OR52E5	gpcr	0.3676
OR52N5	gpcr	0.3335
OR52P1	gpcr	0.367
OR52J3	gpcr	0.3087
OR51F2	gpcr	0.4128
OR51H1	gpcr	0.3937
OR51A7	gpcr	0.3907
OR52I2	gpcr	0.3615
OR4A16	gpcr	0.392
OR4C6	gpcr	0.3931
OR4S2	gpcr	0.4128
OR10A6	gpcr	0.343
OR56B4	gpcr	0.3753
OR6X1	gpcr	0.4067
OR10D3	gpcr	0.397
OR10G6	gpcr	0.3418
OR4A5	gpcr	0.3786
OR5AK3P	gpcr	
OR5AK2	gpcr	0.3871
OR1L3	gpcr	0.415
OR13C6P	gpcr	
OR2AE1	gpcr	0.3738
OR2W6P	gpcr	
OR1F12P	gpcr	
OR2V1	gpcr	0.3807
OR5K1	gpcr	0.3599
OR5K2	gpcr	0.3863
OR14A16	gpcr	0.3562
OR14L1	gpcr	
OR14C36	gpcr	0.459
VN1R17P	gpcr	
OR5P2	gpcr	0.3846
MRGPRF	gpcr	0.3723
GPR82	gpcr	0.4064
GNRHR2	gpcr	
OR5B12	gpcr	0.3696
OR5B2	gpcr	0.3588
OR2M4	gpcr	0.3455
OR2M2	gpcr	0.3754
OR2V2	gpcr	0.3747
OR2A7	gpcr	0.3799
OR2A14	gpcr	0.4131
OR14A2	gpcr	0.3834
OR4C12	gpcr	0.37
OR4F4	gpcr	0.3858
OR4K3	gpcr	0.4173
OR1F2P	gpcr	
OR5M11	gpcr	0.4106
OR8B4	gpcr	0.3769
OR8B2	gpcr	0.3709
OR6C1	gpcr	0.3624
OR52B2	gpcr	0.3951
OR52E6	gpcr	0.4001
NPY6RP	gpcr	
GPR21	gpcr	0.4428
GPR22	gpcr	0.3819
OR2B2	gpcr	0.3767
OR11A1	gpcr	0.3578
OR52A5	gpcr	0.3862
OR51I1	gpcr	0.4276
OR51I2	gpcr	0.4116
OR52D1	gpcr	0.4072
GPR27	gpcr	0.414
OR6C3	gpcr	0.3927
OR6C2	gpcr	0.3503
OR5AC2	gpcr	0.3596
TAAR3P	gpcr	
TAAR2	gpcr	0.3505
OR1A1	gpcr	0.3595
OR14J1	gpcr	0.386
OR5V1	gpcr	0.3715
OR12D3	gpcr	0.3469
OR2W1	gpcr	0.3982
OR10H1	gpcr	0.318
OR51B4	gpcr	0.4011
OR4N4C	gpcr	0.3388
OR4M2B	gpcr	0.3982
OR8U9	gpcr	
OR9G9	gpcr	
TAS2R33	gpcr	0.4021
TAS2R36	gpcr	0.4308
OR4F5	gpcr	0.3508
HTR3E	ion_channel	0.4033
GABRR3	ion_channel	0.3685
KCNU1	ion_channel	0.3928
KCNJ18	ion_channel	0.3883
GPHRA	ion_channel	
KCNK1	ion_channel	0.401
CLIC1	ion_channel	0.3871
CACNB4	ion_channel	0.4111
CACNA1A	ion_channel	0.3863
