target_id	model_direction_score	models_used
KCNMB3	0.3769	scfoundation
KCNMB4	0.3693	scfoundation
KCNN1	0.3704	scfoundation
KCNN2	0.4226	scfoundation
KCNN3	0.4026	scfoundation
KCNN4	0.3824	scfoundation
KCNQ1	0.3949	scfoundation
KCNQ2	0.3555	scfoundation
KCNQ3	0.3987	scfoundation
KCNQ4	0.4161	scfoundation
KCNQ5	0.3657	scfoundation
KCNS1	0.3348	scfoundation
KCNS2	0.3901	scfoundation
KCNS3	0.3655	scfoundation
KCNT1	0.3903	scfoundation
KCNT2	0.3517	scfoundation
KCNU1	0.3928	scfoundation
KCNV1	0.3661	scfoundation
KCNV2	0.3519	scfoundation
KISS1R	0.3776	scfoundation
LGR4	0.2821	scfoundation
LGR5	0.4091	scfoundation
LGR6	0.3539	scfoundation
LHCGR	0.3924	scfoundation
LPAR1	0.3798	scfoundation
LPAR2	0.3754	scfoundation
LPAR3	0.3853	scfoundation
LPAR4	0.3998	scfoundation
LPAR5	0.3547	scfoundation
LPAR6	0.3443	scfoundation
LRRC26	0.3895	scfoundation
LRRC38	0.4076	scfoundation
LRRC52	0.304	scfoundation
LRRC55	0.3883	scfoundation
LRRC8A	0.3814	scfoundation
LRRC8B	0.351	scfoundation
LRRC8C	0.3858	scfoundation
LRRC8D	0.3828	scfoundation
LRRC8E	0.3612	scfoundation
LTB4R	0.3978	scfoundation
LTB4R2	0.3945	scfoundation
MAS1	0.3948	scfoundation
MAS1L	0.3941	scfoundation
MC1R	0.3848	scfoundation
MC2R	0.4002	scfoundation
MC3R	0.4426	scfoundation
MC4R	0.373	scfoundation
MC5R	0.3727	scfoundation
MCHR1	0.4023	scfoundation
MCHR2	0.3729	scfoundation
MCOLN1	0.1958	scfoundation
MCOLN2	0.3775	scfoundation
MCOLN3	0.4085	scfoundation
MCU	0.4063	scfoundation
MFSD8	0.3601	scfoundation
MLNR	0.3725	scfoundation
MRGPRD	0.4049	scfoundation
MRGPRE	0.3954	scfoundation
MRGPRF	0.3723	scfoundation
MRGPRG	0.4198	scfoundation
MRGPRX1	0.356	scfoundation
MRGPRX2	0.3725	scfoundation
MRGPRX3	0.4002	scfoundation
MRGPRX4	0.367	scfoundation
MTNR1A	0.3459	scfoundation
MTNR1B	0.3841	scfoundation
NALCN	0.3834	scfoundation
NMBR	0.388	scfoundation
NMUR1	0.3875	scfoundation
NMUR2	0.3757	scfoundation
NOX5	0.3751	scfoundation
NPBWR1	0.3506	scfoundation
NPBWR2	0.3755	scfoundation
NPFFR1	0.3709	scfoundation
NPFFR2	0.4004	scfoundation
NPSR1	0.3909	scfoundation
NPY1R	0.3813	scfoundation
NPY2R	0.4333	scfoundation
NPY4R	0.3937	scfoundation
NPY4R2	0.3628	scfoundation
NPY5R	0.3437	scfoundation
NPY6RP		
NTSR1	0.3232	scfoundation
NTSR2	0.3883	scfoundation
OPN1LW	0.4061	scfoundation
OPN1MW	0.3995	scfoundation
OPN1MW2	0.4216	scfoundation
OPN1MW3	0.3995	scfoundation
OPN1SW	0.4032	scfoundation
OPN3	0.3966	scfoundation
OPN4	0.4212	scfoundation
OPN5	0.3934	scfoundation
OPRD1	0.3846	scfoundation
OPRK1	0.4115	scfoundation
OPRL1	0.4082	scfoundation
OPRM1	0.3425	scfoundation
OR10A2	0.3515	scfoundation
OR10A3	0.4165	scfoundation
OR10A4	0.3875	scfoundation
OR10A5	0.4135	scfoundation
OR10A6	0.343	scfoundation
OR10A7	0.4068	scfoundation
OR10AC1	0.3744	scfoundation
OR10AD1	0.4397	scfoundation
OR10AG1	0.3979	scfoundation
OR10C1	0.3676	scfoundation
OR10D3	0.397	scfoundation
OR10D4P		
OR10G2	0.3814	scfoundation
OR10G3	0.3776	scfoundation
OR10G4	0.3575	scfoundation
OR10G6	0.3418	scfoundation
OR10G7	0.3624	scfoundation
OR10G8	0.4016	scfoundation
OR10G9	0.357	scfoundation
OR10H1	0.318	scfoundation
OR10H2	0.3783	scfoundation
OR10H3	0.3763	scfoundation
OR10H4	0.3802	scfoundation
OR10H5	0.416	scfoundation
OR10J1	0.4206	scfoundation
OR10J3	0.3568	scfoundation
OR10J4	0.3826	scfoundation
OR10J5	0.3818	scfoundation
OR10J6P		
OR10K1	0.4007	scfoundation
OR10K2	0.3854	scfoundation
OR10P1	0.2774	scfoundation
OR10Q1	0.3832	scfoundation
OR10R2	0.3752	scfoundation
OR10S1	0.361	scfoundation
OR10T2	0.3705	scfoundation
OR10V1	0.4139	scfoundation
OR10W1	0.3804	scfoundation
OR10X1	0.3667	scfoundation
OR10Z1	0.376	scfoundation
OR11A1	0.3578	scfoundation
OR11G2	0.3957	scfoundation
OR11H1	0.3697	scfoundation
OR11H12	0.3778	scfoundation
OR11H2	0.4062	scfoundation
OR11H4	0.3865	scfoundation
OR11H6	0.3819	scfoundation
OR11H7	0.4083	scfoundation
OR11L1	0.3636	scfoundation
OR12D1	0.4113	scfoundation
OR12D2	0.4061	scfoundation
OR12D3	0.3469	scfoundation
OR13A1	0.3827	scfoundation
OR13C2	0.3812	scfoundation
OR13C3	0.3865	scfoundation
OR13C4	0.3716	scfoundation
OR13C5	0.4022	scfoundation
OR13C6P		
OR13C8	0.3904	scfoundation
OR13C9	0.4099	scfoundation
OR13D1	0.378	scfoundation
OR13F1	0.3162	scfoundation
OR13G1	0.4493	scfoundation
OR13H1	0.4005	scfoundation
OR13J1	0.3915	scfoundation
OR14A16	0.3562	scfoundation
OR14A2	0.3834	scfoundation
OR14C36	0.459	scfoundation
OR14I1	0.3275	scfoundation
OR14J1	0.386	scfoundation
OR14K1	0.3883	scfoundation
OR14L1		
OR1A1	0.3595	scfoundation
OR1A2	0.3922	scfoundation
OR1B1	0.3498	scfoundation
OR1C1	0.403	scfoundation
OR1D2	0.4014	scfoundation
OR1D4	0.3651	scfoundation
OR1D5	0.3625	scfoundation
OR1E1	0.3639	scfoundation
OR1E2	0.3821	scfoundation
OR1E3	0.3665	scfoundation
OR1F1	0.382	scfoundation
OR1F12P		
OR1F2P		
OR1G1	0.3065	scfoundation
OR1I1	0.3679	scfoundation
OR1J1	0.3783	scfoundation
OR1J2	0.3914	scfoundation
OR1J4	0.3909	scfoundation
OR1K1	0.3742	scfoundation
OR1L1	0.3914	scfoundation
OR1L3	0.415	scfoundation
OR1L4	0.4278	scfoundation
OR1L6	0.3709	scfoundation
OR1L8	0.373	scfoundation
OR1M1	0.3858	scfoundation
OR1N1	0.3968	scfoundation
OR1N2	0.3778	scfoundation
OR1P1	0.3851	scfoundation
OR1Q1	0.3911	scfoundation
OR1R1		
OR1S1	0.3697	scfoundation
OR1S2	0.3777	scfoundation
OR2A12	0.3479	scfoundation
OR2A14	0.4131	scfoundation
OR2A1;		
OR2A2	0.3568	scfoundation
OR2A25	0.4377	scfoundation
OR2A4	0.3769	scfoundation
OR2A5	0.3988	scfoundation
OR2A7	0.3799	scfoundation
OR2AE1	0.3738	scfoundation
OR2AG1	0.4242	scfoundation
OR2AG2	0.3357	scfoundation
OR2AJ1	0.4075	scfoundation
OR2AK2	0.3989	scfoundation
OR2AP1	0.4177	scfoundation
OR2AT4	0.3936	scfoundation
OR2B11	0.3922	scfoundation
OR2B2	0.3767	scfoundation
OR2B3	0.4135	scfoundation
OR2B6	0.3974	scfoundation
OR2B8		
OR2C1	0.3924	scfoundation
OR2C3	0.3968	scfoundation
OR2D2	0.3528	scfoundation
OR2D3	0.3964	scfoundation
OR2F1	0.354	scfoundation
OR2F2	0.35	scfoundation
OR2G2	0.3566	scfoundation
OR2G3	0.4194	scfoundation
OR2G6	0.3121	scfoundation
OR2H1	0.3883	scfoundation
OR2H2	0.3894	scfoundation
OR2I1		
OR2J1	0.4065	scfoundation
OR2J2	0.3654	scfoundation
OR2J3	0.3849	scfoundation
OR2K2	0.3737	scfoundation
OR2L13	0.3557	scfoundation
OR2L2	0.3718	scfoundation
OR2L3	0.3902	scfoundation
OR2L5	0.4191	scfoundation
OR2L8	0.4461	scfoundation
OR2M2	0.3754	scfoundation
OR2M3	0.3375	scfoundation
OR2M4	0.3455	scfoundation
OR2M5	0.345	scfoundation
OR2M7	0.3636	scfoundation
OR2S2	0.3406	scfoundation
OR2T1	0.3876	scfoundation
OR2T10	0.3809	scfoundation
OR2T11	0.3791	scfoundation
OR2T12	0.4074	scfoundation
OR2T2	0.381	scfoundation
OR2T27	0.3402	scfoundation
OR2T29	0.3682	scfoundation
OR2T3	0.4121	scfoundation
OR2T33	0.3834	scfoundation
OR2T34	0.3694	scfoundation
OR2T35	0.3748	scfoundation
