inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
GHRQDNKXGRCCNU-UHFFFAOYSA-N	4	0	4	0	0.1853941343570229	0.0	CHEMBL1407106	1	TSHR NFE2L2 Txnrd1	
GIFWAEOTCKRVPA-DAXSKMNVSA-N	3	0	0	3	0.0404179982388022	0.0		0		
GKVOUIDJCTZONO-UHFFFAOYSA-N	1	0	0	1	0.0230297089643794	0.0		0		
GMLWUIOMUFRCHP-UHFFFAOYSA-N	1	0	0	1	0.1825559938106717	0.0		0		
GPQLHGCIAUEJQK-UHFFFAOYSA-N	34	0	34	0	0.221019819823603	0.0	CHEMBL78010	15	FLT3 KIT NFKB1 NFKB2 RELA	
GRJZAZKUTCLORK-VQHVLOKHSA-N	5	0	0	5	0.0650270224655349	0.0		0		
GRSZKDCOHSSIAJ-NTEUORMPSA-N	7	0	0	7	0.0632350557325266	0.0		0		
GTLUNTOVPCRQID-UHFFFAOYSA-N	82	0	0	82	0.0478778623348072	0.0		0		
GUXUNEQEJGITDA-UHFFFAOYSA-N	4	0	0	4	0.0229292581370974	0.0		0		
GVLDSGIQZAFIAN-UHFFFAOYSA-N	11	0	0	11	0.079978303742189	0.0		0		
GWWXKVVUGDVQGO-VHBPWQNCSA-N	1	0	1	0	0.0533455923434912	0.0	CHEMBL3193696	0	GMNN PIN1 POLI TARDBP TDP1	
HEFTZORMGMTRPG-UHFFFAOYSA-N	15	0	0	15	0.1017748044504241	0.0		0		
HKKMTINBQLULNL-UHFFFAOYSA-N	5	0	0	5	0.0350652166049261	0.0		0		
HLOFUIOHRMXBMA-UHFFFAOYSA-N	10	0	0	10	0.1689232262653477	0.0		0		
HLOOVTMYBRRYOP-UHFFFAOYSA-N	2	0	0	2	0.0842782403662067	0.0		0		
HLPYQPCDBFDTTQ-UHFFFAOYSA-N	1	0	0	1	0.1120879563226723	0.0		0		
HLRFUTRZDZOVDA-UHFFFAOYSA-N	151	0	151	0	0.0458198744915648	0.0	CHEMBL1722204	0	GLP1R NFE2L2	
HNAMVKUEIKNELN-UHFFFAOYSA-N	1	0	0	1	0.0138884414741917	0.0		0		
HPGKJCFDLAZRAQ-UHFFFAOYSA-N	5	0	0	5	0.0358144557526922	0.0		0		
HPNSFSBZBAHARI-RUDMXATFSA-N	5	0	5	0	0.0651702095723959	0.0	CHEMBL866	13	IMPDH2 IMPDH1 SMN1 SMN2 LMNA	
HSKHEMGXJUDSBK-UHFFFAOYSA-N	3	0	0	3	0.0798013962227353	0.0		0		
HTFBQOOCCCCUIM-UHFFFAOYSA-N	1	0	0	1	0.0158315133568554	0.0		0		
IBQMHBGFMLHHLE-UHFFFAOYSA-N	7	0	7	0	0.0468730324408941	0.0	CHEMBL258764	6	Impa1 Chrm1 CYP3A4 THPO MTOR	
ICEVCPZBQFHSJX-UHFFFAOYSA-N	2	0	0	2	0.0241358101485444	0.0		0		
IDYLOMJSJGBBMS-UHFFFAOYSA-N	6	0	6	0	0.022101274048691	0.0	CHEMBL1461577	5	SMN2 SMN1 TDP1 GAA ALDH1A1	
IGELAJYEOYKEOS-UHFFFAOYSA-N	1	0	1	0	0.0360695245458573	0.0	CHEMBL1371789	15	CYP2C9 MAPT CYP3A4 TP53 CYP2C19	
IHIXIYXIWDFZPJ-UHFFFAOYSA-N	9	0	0	9	0.0318468558381546	0.0		0		
IHVRWFJGOIWMGC-NSCUHMNNSA-N	1	0	1	0	0.0208299814357708	0.0	CHEMBL291501	8	CYP1A1 CYP1B1 Rorc LMNA PTGS2	
IIDHRXYQBMFEFH-UHFFFAOYSA-N	3	0	0	3	0.1413089976065269	0.0		0		
IJCTYZWGKIPTCH-UHFFFAOYSA-N	4	0	0	4	0.046024375240165	0.0		0		
IJNUPCMESUBVMN-UHFFFAOYSA-N	1	0	0	1	0.0392085505551114	0.0		0		
IMEHBSBZAOHPDZ-UHFFFAOYSA-N	2	0	0	2	0.0232742710799829	0.0		0		
INDUNANCUDNZJY-SCOKXHSESA-N	3	0	0	3	0.0252975835838104	0.0		0		
INNUJKKTRZBGPL-UHFFFAOYSA-N	1	0	0	1	0.0341668771057234	0.0		0		
INOSMXBKABLUIL-KOOLHJLFSA-N	3	0	0	3	0.1017283551156486	0.0		0		
IPEBZBGNMZQELD-UHFFFAOYSA-N	1	0	1	0	0.0277598499231343	0.0	CHEMBL1560434	2	RAB9A PKM ATAD5 CBX1 GMNN	
ITKWPVLOLOFGLS-UHFFFAOYSA-N	1	0	0	1	0.0879958550854274	0.0		0		
ITQPFPYKSRDMMS-UHFFFAOYSA-N	26	0	26	0	0.128052357705047	0.0	CHEMBL1906042	0	CBX1 POLH POLI	
IUYHQXQULKHTOS-UHFFFAOYSA-N	1	0	0	1	0.0288521597908465	0.0		0		
IVFYNVUWEOJAST-UHFFFAOYSA-N	30	0	0	30	0.1076226433584162	0.0		0		
IWOAIZJEQSPHST-UHFFFAOYSA-N	8	0	0	8	0.0456075503402513	0.0		0		
IXEZJRBBSZMJNU-UHFFFAOYSA-N	4	0	0	4	0.040459213594928	0.0		0		
IYLZJDSCZSTABQ-UHFFFAOYSA-N	3	0	0	3	0.1131693614564439	0.0		0		
JAKSTRQXAVUUBC-UHFFFAOYSA-N	1	0	0	1	0.0304048658007681	0.0		0		
JAMQLJVXPNHYPI-UHFFFAOYSA-N	238	0	0	238	0.0764826045330323	0.0		0		
JCCNYMKQOSZNPW-UHFFFAOYSA-N	2	0	2	0	0.048847595520777	0.0	CHEMBL998	53	CYP2C19 HRH1 CYP2C9 HTR2B KCNH2	
JJWBORSJJGVQCB-UHFFFAOYSA-N	24	0	0	24	0.0677870743412929	0.0		0		
JKNIBRIKXPAWMV-UHFFFAOYSA-N	9	0	0	9	0.0308957570922739	0.0		0		
JMCCXTIGFGVBRZ-UHFFFAOYSA-N	2	0	0	2	0.019670164133575	0.0		0		
JMJFOHCLGYJSFZ-UHFFFAOYSA-N	3	0	0	3	0.0564101687725395	0.0		0		
JNGTXMBKZMVWFK-UHFFFAOYSA-N	3	0	0	3	0.0295665711977908	0.0		0		
JOZKFWLRHCDGJA-LLVKDONJSA-N	3	0	0	3	0.0340835951324328	0.0		0		
JRFZSUMZAUHNSL-UHFFFAOYSA-N	6	0	6	0	0.0195456097435505	0.0	CHEMBL275391	7	RAB9A NPC1 ABCG2 MEN1 KMT2A	
JRJNDYBSBGHCTB-ZHACJKMWSA-N	70	0	0	70	0.0316498120346267	0.0		0		
JTBPQCSRFUMUMH-UHFFFAOYSA-N	1	0	0	1	0.0222457969561957	0.0		0		
JTUGZBGALMZRJN-UHFFFAOYSA-N	20	0	0	20	0.0950255465309116	0.0		0		
JUKXEUCJMRWMTL-ODOSRFNGSA-N	1	0	0	1	0.0509999563401135	0.0		0		
JVGZJQMIINCCIN-NDENLUEZSA-N	1	0	0	1	0.0278604407555078	0.0		0		
JWUBBDSIWDLEOM-DTOXIADCSA-N	1	0	1	0	0.0878955929042239	0.0	CHEMBL1040	3	Vdr SREBF1 Rorc Cyp27b1 GMNN	
JYDFOXZALFOSJF-UHFFFAOYSA-N	46	0	0	46	0.0547157677681773	0.0		0		
JZJMXYOTSVLHAA-UHFFFAOYSA-N	6	0	0	6	0.1368770766984484	0.0		0		
JZWGCONBFOFQTA-UHFFFAOYSA-N	12	0	0	12	0.122031776899662	0.0		0		
KAVGACBICVLPER-UHFFFAOYSA-N	2	0	0	2	0.0181111362063099	0.0		0		
KCNPGHAGVLUKKB-UHFFFAOYSA-N	8	0	0	8	0.1885707104949625	0.0		0		
KCPNEXUDWDDGAX-UHFFFAOYSA-N	1	0	0	1	0.0494625260079406	0.0		0		
KDKVQTKLWWJERB-UHFFFAOYSA-N	4	0	0	4	0.0545042543538034	0.0		0		
